Dateiname	Sprachtyp	Level	URL	Verfasser_in	Datum	Herausgeber_in	Überprüfung	Siegel	Original-Lizenz	Korpus	Textsorte	Herausgeber_in_anno	Kommentar_textsorte
m_54_easy	Leicht	A1	https://hurraki.de/wiki/Just	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_55_easy	Leicht	A1	https://hurraki.de/wiki/Mozilla_Firefox	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_57_easy	Leicht	NA	https://www.lebenshilfe.de/informieren/woerterbuch/woerterbuch-detail/?tx_lfdictionary_detail%5Bdictionaryentry%5D=76&tx_lfdictionary_detail%5Bsearchterm%5D=&tx_lfdictionary_detail%5Bletter%5D=D&tx_lfdictionary_detail%5Baction%5D=show&tx_lfdictionary_detail%5Bcontroller%5D=Dictionaryentry&cHash=c0e59d28aa6429ac377c43785d4e627d	NA	2018	Lebenshilfe	NA	NA	CC BY-NC	WebCorpus	Lexikon	Verein/NGO	NA
m_58_easy	Leicht	A1	https://hurraki.de/wiki/Leichte_Sprache_App	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_59_easy	Leicht	A1	https://hurraki.de/wiki/Schien%C2%ADbein%C2%ADscho%C2%ADner	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_61_easy	Leicht	A1	https://hurraki.de/wiki/S%C3%A4ugling	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_62_easy	Leicht	A1	https://hurraki.de/wiki/Y%E1%BA%BFm	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_63_easy	Leicht	A1	https://hurraki.de/wiki/Integrationshotel	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_64_easy	Leicht	A1	https://hurraki.de/wiki/H%C3%B6flichkeit	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_65_easy	Leicht	A1	https://hurraki.de/wiki/Fr%C3%A4ulein	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_66_easy	Leicht	NA	https://www.lebenshilfe.de/informieren/woerterbuch/woerterbuch-detail/?tx_lfdictionary_detail%5Bdictionaryentry%5D=89&tx_lfdictionary_detail%5Bsearchterm%5D=&tx_lfdictionary_detail%5Bletter%5D=E&tx_lfdictionary_detail%5Baction%5D=show&tx_lfdictionary_detail%5Bcontroller%5D=Dictionaryentry&cHash=d567f7f5814900efc0ebaa6ed55fe53c	NA	2018	Lebenshilfe	NA	NA	CC BY-NC	WebCorpus	Lexikon	Verein/NGO	NA
m_67_easy	Leicht	A1	https://hurraki.de/wiki/Gammelfleisch	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_68_easy	Leicht	A1	https://hurraki.de/wiki/Schm%C3%A4hkritik	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_69_easy	Leicht	A1	https://hurraki.de/wiki/Sarkasmus	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_70_easy	Leicht	A1	https://hurraki.de/wiki/W%C3%A4rschtlamo	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_71_easy	Leicht	A1	https://hurraki.de/wiki/Fl%C3%BCstern	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_72_easy	Leicht	A1	https://hurraki.de/wiki/UN-Klimakonferenz_in_Paris_2015	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_73_easy	Leicht	A1	https://hurraki.de/wiki/Soziallotterie	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_74_easy	Leicht	A1	https://hurraki.de/wiki/Politikum	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_76_easy	Leicht	A1	https://hurraki.de/wiki/Torwart	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
